date_id,full_date,day_of_week,day_num,month,month_name,quarter,year,season,is_weekend
1,2024-06-23,Sunday,6,6,June,2,2024,Wet,t
2,2024-06-24,Monday,0,6,June,2,2024,Wet,f
3,2024-06-25,Tuesday,1,6,June,2,2024,Wet,f
4,2024-06-26,Wednesday,2,6,June,2,2024,Wet,f
5,2024-06-27,Thursday,3,6,June,2,2024,Wet,f
6,2024-06-28,Friday,4,6,June,2,2024,Wet,f
7,2024-06-29,Saturday,5,6,June,2,2024,Wet,t
8,2024-06-30,Sunday,6,6,June,2,2024,Wet,t
9,2024-07-01,Monday,0,7,July,3,2024,Wet,f
10,2024-07-02,Tuesday,1,7,July,3,2024,Wet,f
11,2024-07-03,Wednesday,2,7,July,3,2024,Wet,f
12,2024-07-04,Thursday,3,7,July,3,2024,Wet,f
13,2024-07-05,Friday,4,7,July,3,2024,Wet,f
14,2024-07-06,Saturday,5,7,July,3,2024,Wet,t
15,2024-07-07,Sunday,6,7,July,3,2024,Wet,t
16,2024-07-08,Monday,0,7,July,3,2024,Wet,f
17,2024-07-09,Tuesday,1,7,July,3,2024,Wet,f
18,2024-07-10,Wednesday,2,7,July,3,2024,Wet,f
19,2024-07-11,Thursday,3,7,July,3,2024,Wet,f
20,2024-07-12,Friday,4,7,July,3,2024,Wet,f
21,2024-07-13,Saturday,5,7,July,3,2024,Wet,t
22,2024-07-14,Sunday,6,7,July,3,2024,Wet,t
23,2024-07-15,Monday,0,7,July,3,2024,Wet,f
24,2024-07-16,Tuesday,1,7,July,3,2024,Wet,f
25,2024-07-17,Wednesday,2,7,July,3,2024,Wet,f
26,2024-07-18,Thursday,3,7,July,3,2024,Wet,f
27,2024-07-19,Friday,4,7,July,3,2024,Wet,f
28,2024-07-20,Saturday,5,7,July,3,2024,Wet,t
29,2024-07-21,Sunday,6,7,July,3,2024,Wet,t
30,2024-07-22,Monday,0,7,July,3,2024,Wet,f
